Node_for_0_eyes,Act_for_0_eyes,Frequency_for_0_eyes,0_output_weights_x,output_0_eyes_compScore,Node_for_0_mouth,Act_for_0_mouth,Frequency_for_0_mouth,1_output_weights_x,output_0_mouth_compScore,Node_for_0_forehead,Act_for_0_forehead,Frequency_for_0_forehead,0_output_weights_y,output_0_forehead_compScore,Node_for_0_nose,Act_for_0_nose,Frequency_for_0_nose,3_output_weights_x,output_0_nose_compScore,Node_for_1_eyes,Act_for_1_eyes,Frequency_for_1_eyes,0_output_weights_x,output_1_eyes_compScore,Node_for_1_mouth,Act_for_1_mouth,Frequency_for_1_mouth,1_output_weights_y,output_1_mouth_compScore,Node_for_1_forehead,Act_for_1_forehead,Frequency_for_1_forehead,0_output_weights_y,output_1_forehead_compScore,Node_for_1_nose,Act_for_1_nose,Frequency_for_1_nose,3_output_weights_y,output_1_nose_compScore,Node_for_2_eyes,Act_for_2_eyes,Frequency_for_2_eyes,0_output_weights_x,output_2_eyes_compScore,Node_for_2_mouth,Act_for_2_mouth,Frequency_for_2_mouth,1_output_weights_x,output_2_mouth_compScore,Node_for_2_forehead,Act_for_2_forehead,Frequency_for_2_forehead,0_output_weights_y,output_2_forehead_compScore,Node_for_2_nose,Act_for_2_nose,Frequency_for_2_nose,2_output_weights,output_2_nose_compScore,Node_for_3_eyes,Act_for_3_eyes,Frequency_for_3_eyes,0_output_weights_x,output_3_eyes_compScore,Node_for_3_mouth,Act_for_3_mouth,Frequency_for_3_mouth,1_output_weights_y,output_3_mouth_compScore,Node_for_3_forehead,Act_for_3_forehead,Frequency_for_3_forehead,0_output_weights_y,output_3_forehead_compScore,Node_for_3_nose,Act_for_3_nose,Frequency_for_3_nose,3_output_weights_x,output_3_nose_compScore,Node_for_4_eyes,Act_for_4_eyes,Frequency_for_4_eyes,0_output_weights_x,output_4_eyes_compScore,Node_for_4_mouth,Act_for_4_mouth,Frequency_for_4_mouth,1_output_weights,output_4_mouth_compScore,Node_for_4_forehead,Act_for_4_forehead,Frequency_for_4_forehead,0_output_weights_y,output_4_forehead_compScore,Node_for_4_nose,Act_for_4_nose,Frequency_for_4_nose,3_output_weights_y,output_4_nose_compScore
4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,5,3.5772097744308153,0.7135678391959799,0.61374176,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,5,3.1382192182941595,0.592964824120603,0.61374176,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,5,3.127964436470925,0.5527638190954773,0.61374176,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,5,2.858852183117586,0.4221105527638191,0.61374176,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0,5,3.0688042172761723,0.5326633165829145,0.61374176,1.0,4.0,1.708843469619751,1.0,0.35534206,1.0
6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6,7.953691817522049,1.0,0.21305194,0.7483045384638088,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6,6.738540804386139,1.0,0.21305194,0.7152615554820664,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6,6.642548565864563,1.0,0.21305194,0.706277592072032,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6,5.905660827159881,1.0,0.21305194,0.680674602589752,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763,6,6.37573798418045,1.0,0.21305194,0.6866043938952932,6.0,2.568568229675293,1.0,0.21305194,0.843169088926763
0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,8,3.418206214904785,0.0,0.41484842,0.6093702996465344,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,4,2.7697820377349855,1.0,0.35534206,0.4531431520703376,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,4,2.7238521933555604,1.0,0.35534206,0.4458804470421102,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,4,2.5047553682327273,1.0,0.35534206,0.44383147040863546,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168,4,2.66018308699131,1.0,0.35534206,0.4400559865390016,0.0,1.778554916381836,1.0,0.30545372,0.8327837769488168
2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,4,3.1201080822944642,1.0,0.35534206,0.4539456658431161,2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,8,2.2134132044655934,0.03015075376884422,0.41484842,0.4148280126600929,2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,8,1.8729679346084596,0.020100502512562814,0.41484842,0.33474868148943737,2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,3,1.8321124131862934,0.06030150753768844,0.44382754,0.39435958287184136,2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,2.0,1.465673804283142,1.0,0.15333472,0.0,3,1.8091928220930553,0.10050251256281408,0.44382754,0.3551222196880587,2.0,1.465673804283142,1.0,0.15333472,0.0
,,,,,,,,,,3,1.8890354007482528,0.19597989949748743,0.44382754,0.31813282752199584,,,,,,,,,,,,,,,,3,1.8295174598693849,0.12060301507537688,0.44382754,0.3531416187405921,,,,,,,,,,,,,,,,3,1.7195684671401978,0.12060301507537688,0.44382754,0.32671166010035024,,,,,,,,,,,,,,,,8,1.4654172999518258,0.03015075376884422,0.41484842,0.26234367534313513,,,,,,,,,,,,,,,,7,2.382033648399206,0.2562814070351759,0.28374190000000005,0.2792714842738531,,,,,
,,,,,,,,,,7,2.3387943597940297,0.45226130653266333,0.28374190000000005,0.2303081093014266,,,,,,,,,,,,,,,,7,2.3930403967698415,0.2964824120603015,0.28374190000000005,0.2759270907203771,,,,,,,,,,,,,,,,7,2.398656596217239,0.2814070351758794,0.28374190000000005,0.2786311156538841,,,,,,,,,,,,,,,,0,1.9255344769050335,0.7236180904522613,0.30545372,0.24962919766452746,,,,,,,,,,,,,,,,8,1.515394002199173,0.01507537688442211,0.41484842,0.25108626197403106,,,,,
,,,,,,,,,,0,1.9889714338217572,0.7839195979899497,0.30545372,0.20213295243205068,,,,,,,,,,,,,,,,0,1.9993626350237999,0.8090452261306532,0.30545372,0.2362741891225712,,,,,,,,,,,,,,,,0,2.0016254786624024,0.7537688442211056,0.30545372,0.2383495461421874,,,,,,,,,,,,,,,,7,2.026028278801176,0.17587939698492464,0.28374190000000005,0.24107806271811377,,,,,,,,,,,,,,,,0,1.9732772871142341,0.8391959798994975,0.30545372,0.23561975295552445,,,,,
,,,,,,,,,,9,2.582595887585221,0.5326633165829145,0.15002985,0.09155703596444346,,,,,,,,,,,,,,,,9,2.515893164433931,0.3768844221105528,0.15002985,0.10084046747069722,,,,,,,,,,,,,,,,9,2.7499575940045444,0.38190954773869346,0.15002985,0.12260327919054817,,,,,,,,,,,,,,,,9,2.544565829863915,0.32160804020100503,0.15002985,0.11685101176114403,,,,,,,,,,,,,,,,9,2.546723145427126,0.32663316582914576,0.15002985,0.10392041642370022,,,,,
,,,,,,,,,,1,1.5983453173386424,0.4723618090452261,0.17739451,0.039337725587632745,,,,,,,,,,,,,,,,1,1.622172682574301,0.32663316582914576,0.17739451,0.04876126278988465,,,,,,,,,,,,,,,,1,1.58733320769979,0.3316582914572864,0.17739451,0.046347603747619856,,,,,,,,,,,,,,,,1,1.5170931512234258,0.25125628140703515,0.17739451,0.04439144963956984,,,,,,,,,,,,,,,,1,1.5857418554800529,0.2663316582914573,0.17739451,0.04376915809896461,,,,,
,,,,,,,,,,2,1.338550709542774,0.10050251256281408,0.15333472,0.0,,,,,,,,,,,,,,,,2,1.3290165464083354,0.17587939698492464,0.15333472,0.0,,,,,,,,,,,,,,,,2,1.3171744067618187,0.23115577889447236,0.15333472,0.0,,,,,,,,,,,,,,,,2,1.3051084635105539,0.23115577889447236,0.15333472,0.0,,,,,,,,,,,,,,,,2,1.3562961290864384,0.1658291457286432,0.15333472,0.0,,,,,
