Node_for_0_None,Act_for_0_None,Frequency_for_0_None,0_output_weights,output_0_None_compScore,Node_for_1_None,Act_for_1_None,Frequency_for_1_None,1_output_weights,output_1_None_compScore,Node_for_2_None,Act_for_2_None,Frequency_for_2_None,2_output_weights,output_2_None_compScore,Node_for_3_None,Act_for_3_None,Frequency_for_3_None,3_output_weights,output_3_None_compScore,Node_for_4_None,Act_for_4_None,Frequency_for_4_None,4_output_weights,output_4_None_compScore
5,1.9849055664879935,0.3295711060948081,0.61374176,1.0,5,2.2350404557361396,0.23096446700507614,0.61374176,1.0,5,2.3845254812347756,0.19775280898876405,0.61374176,1.0,5,2.3091000951826572,0.24111675126903553,0.61374176,1.0,5,2.5307665914297104,0.1987179487179487,0.61374176,1.0
3,2.3322645695196034,0.3972911963882618,0.44382754,0.8138467097141808,3,2.1213486116865408,0.22842639593908629,0.44382754,0.5998140645268256,8,2.0089254189486527,0.449438202247191,0.41484842,0.4850593881830413,3,1.9393760240077973,0.2512690355329949,0.44382754,0.527329851127663,3,2.103745701178065,0.3333333333333333,0.44382754,0.527142972449463
8,1.9848281866279096,0.8148984198645598,0.41484842,0.598591269559454,8,1.9946441964379378,0.5634517766497462,0.41484842,0.49373838407866416,3,1.8292174886126038,0.24269662921348314,0.44382754,0.46745365953479767,8,1.8501072836165526,0.4949238578680203,0.41484842,0.44813189702358946,8,1.915338751635974,0.5,0.41484842,0.4209568042146053
6,2.573140526690134,0.18284424379232506,0.21305194,0.3188062460474386,7,1.9593899826849661,0.15228426395939088,0.28374190000000005,0.24118184805156268,7,2.1093751876080624,0.1348314606741573,0.28374190000000005,0.2931006860361257,6,2.7277686620752015,0.4847715736040609,0.21305194,0.2898303922145064,6,2.674633084681996,0.358974358974359,0.21305194,0.2494260166291609
4,1.4652332649674527,0.09480812641083522,0.35534206,0.29079261810560747,6,2.6002819827322425,0.42385786802030456,0.21305194,0.2393531950065388,6,2.7167248460325863,0.451685393258427,0.21305194,0.27698875226218406,7,2.0479645612763195,0.10152284263959391,0.28374190000000005,0.2897768347596366,0,1.763964252339469,0.22435897435897437,0.30545372,0.22574539883657008
0,1.566865731293047,0.1580135440180587,0.30545372,0.24803641428325554,4,1.410672275722027,0.19796954314720813,0.35534206,0.19031051259543352,4,1.4697153526069844,0.251685393258427,0.35534206,0.23077132937611936,0,1.6974793374538422,0.2512690355329949,0.30545372,0.2366080878225155,4,1.457466997206211,0.1987179487179487,0.35534206,0.20978590283827703
7,1.6840999235709508,0.2686230248306998,0.28374190000000005,0.24726854977408527,0,1.5805615857243538,0.23857868020304568,0.30545372,0.17311822518552078,0,1.5826163592458773,0.2651685393258427,0.30545372,0.19903260458459318,4,1.3667319398373365,0.3223350253807107,0.35534206,0.2087087264369292,7,1.5057003200054169,0.14743589743589744,0.28374190000000005,0.1405834022617266
9,2.2685345493200173,0.29345372460496616,0.15002985,0.10747091015042248,1,2.0489488082416987,0.29441624365482233,0.17739451,0.06213287132949054,9,2.6553146995030916,0.2898876404494382,0.15002985,0.12953332486722105,9,2.269177218073422,0.2436548223350254,0.15002985,0.08535754145413871,9,2.436798509429483,0.32051282051282054,0.15002985,0.09353883192609423
1,1.756014869763301,0.17381489841986456,0.17739451,0.07814886836211225,9,2.2639632256407487,0.28426395939086296,0.15002985,0.03998512099753342,1,1.740193287531535,0.2876404494382023,0.17739451,0.056245120964843166,1,1.721608468728472,0.3248730964467005,0.17739451,0.05559245547431326,1,1.5704010031944098,0.2692307692307692,0.17739451,0.02712755376174463
2,1.5302596059712497,0.24604966139954854,0.15333472,0.0,2,1.9348232122567983,0.1598984771573604,0.15333472,0.0,2,1.5644140309757657,0.2,0.15333472,0.0,2,1.5649335305941732,0.19035532994923857,0.15333472,0.0,2,1.5850162267684937,0.12179487179487179,0.15333472,0.0
